Reporting_Period_Start,Reporting_Period_End,MMWR Week,Specimens_Tested_RSV,Specimens_Positive_RSV,Percent_Positive_RSV,NMH
9/29/19,10/5/19,40,152,0,0,24
10/6/19,10/12/19,41,186,1,0.537634409,25
10/13/19,10/19/19,42,202,1,0.495049505,15
10/20/19,10/26/19,43,246,2,0.81300813,25
10/27/19,11/2/19,44,241,8,3.319502075,40
11/3/19,11/9/19,45,248,9,3.629032258,59
11/10/19,11/16/19,46,286,7,2.447552448,83
11/17/19,11/23/19,47,282,22,7.80141844,106
11/24/19,11/30/19,48,337,26,7.715133531,127
12/1/19,12/7/19,49,322,42,13.04347826,162
12/8/19,12/14/19,50,382,50,13.08900524,169
12/15/19,12/21/19,51,464,80,17.24137931,214
12/22/19,12/28/19,52,525,70,13.33333333,213
12/29/19,1/4/20,1,595,77,12.94117647,135
1/5/20,1/11/20,2,628,83,13.21656051,147
1/12/20,1/18/20,3,633,65,10.2685624,116
1/19/20,1/25/20,4,792,47,5.934343434,109
1/26/20,2/1/20,5,576,38,6.597222222,83
2/2/20,2/8/20,6,613,34,5.546492659,72
2/9/20,2/15/20,7,535,23,4.299065421,59
2/16/20,2/22/20,8,590,23,3.898305085,51
2/23/20,2/29/20,9,578,15,2.595155709,43
3/1/20,3/7/20,10,625,23,3.68,50
3/8/20,3/14/20,11,845,27,3.195266272,39
3/15/20,3/21/20,12,1107,19,1.716350497,15
3/22/20,3/28/20,13,635,10,1.57480315,11
3/29/20,4/4/20,14,396,1,0.252525253,6
4/5/20,4/11/20,15,201,0,0,1
4/12/20,4/18/20,16,157,2,1.27388535,0
4/19/20,4/25/20,17,111,0,0,0
4/26/20,5/2/20,18,138,0,0,0
5/3/20,5/9/20,19,91,0,0,0
5/10/20,5/16/20,20,106,0,0,0
5/17/20,5/23/20,21,91,0,0,0
5/24/20,5/30/20,22,56,0,0,0
5/31/20,6/6/20,23,48,0,0,0
6/7/20,6/13/20,24,41,0,0,0
6/14/20,6/20/20,25,55,0,0,0
6/21/20,6/27/20,26,48,0,0,1
6/28/20,7/4/20,27,43,0,0,0
7/5/20,7/11/20,28,39,0,0,0
7/12/20,7/18/20,29,37,0,0,0
