study id	country
JX576730	Belgium
JX576731	Belgium
JX576732	Belgium
JX576733	Netherlands
JX576734	Netherlands
JX576735	Netherlands
JX576736	Netherlands
JX576737	Netherlands
JX576738	Netherlands
JX576739	Netherlands
JX576740	Netherlands
JX576741	Netherlands
JX576742	Netherlands
JX576743	Netherlands
JX576744	Netherlands
JX576745	Netherlands
JX576746	Netherlands
JX576747	Netherlands
JX576748	Netherlands
JX576749	Netherlands
JX576750	Netherlands
JX576751	Netherlands
JX576752	Netherlands
JX576753	Netherlands
JX576754	Netherlands
JX576755	Netherlands
JX576756	Netherlands
JX576757	Netherlands
JX576758	Netherlands
JX576759	Netherlands
JX576760	Netherlands
JX576761	Netherlands
KF893260	Netherlands
KM042393	USA
KM517573	China
KP317917	Kenya
KP317923	Kenya
KP317927	Kenya
KP317928	Kenya
KP317932	Kenya
KP317934	Kenya
KP317945	Kenya
KP317952	Kenya
KP663729	South Korea
KP663730	South Korea
KJ939919	Vietnam
KJ939920	Vietnam
KJ939921	Vietnam
KJ939922	Vietnam
KJ939923	Vietnam
KJ939924	Vietnam
KJ939925	Vietnam
KJ939926	Vietnam
KJ939927	Vietnam
KJ939928	Vietnam
KJ939929	Vietnam
KJ939930	Vietnam
KJ939931	Vietnam
KJ939932	Vietnam
KJ939933	Vietnam
KJ939934	Vietnam
KP856961	USA
KP856963	USA
KP856965	USA
KP856966	USA
KU839623	USA
KU839625	USA
KU839627	USA
KU839628	USA
KU839629	USA
KU839632	USA
KU839633	USA
KU839634	USA
KU839635	USA
KU839636	USA
KU839638	USA
KU839640	USA
KU839641	USA
KY249656	United Kingdom
KY249657	United Kingdom
KY249658	United Kingdom
KY249659	United Kingdom
KY249660	United Kingdom
KY249661	United Kingdom
KY249662	United Kingdom
KY249663	United Kingdom
KY249664	United Kingdom
KY249665	United Kingdom
KY249666	United Kingdom
KY249667	United Kingdom
KY249668	United Kingdom
KY249669	United Kingdom
KY249670	United Kingdom
KY249671	United Kingdom
KY249672	United Kingdom
KY249673	United Kingdom
KY249674	United Kingdom
KY249675	United Kingdom
KY249676	United Kingdom
KY249677	United Kingdom
KY249678	United Kingdom
KY249679	United Kingdom
KY249680	United Kingdom
KY249681	United Kingdom
KY249682	United Kingdom
KY249683	United Kingdom
KY684758	USA
KY674983	USA
MF001040	USA
MF001042	USA
MF001044	USA
MF001045	USA
MF001046	USA
MF001048	USA
MF001055	USA
MF001058	USA
MF973154	USA
MG642025	USA
MG642027	USA
MG642036	USA
MG642037	USA
MG642039	USA
MG642042	USA
MG642043	USA
MG642044	USA
MG642045	USA
MG642046	USA
MG642047	USA
MG642049	USA
MG642051	USA
MG642054	USA
MG642057	USA
MG642059	USA
MG642062	USA
MG642064	USA
MG642065	USA
MG642066	USA
MG642068	USA
MG642072	USA
MG642076	USA
MG642078	USA
MG642082	USA
MG431251	Brazil
MG431252	Brazil
MG431253	Brazil
MH327947	India
LC384997	Philippines
LC384998	Philippines
LC384999	Philippines
LC385000	Philippines
LC385001	Philippines
LC385002	Philippines
LC385003	Philippines
LC385004	Philippines
LC385006	Philippines
LC385007	Philippines
LC385008	Philippines
MK109764	Jordan
MK109765	Jordan
MK109766	Jordan
MK109767	Jordan
MK109768	Jordan
MK109769	Jordan
MK109770	Jordan
MK109771	Jordan
MK109778	Jordan
MK109779	Jordan
MK109780	Jordan
MK109781	Jordan
MK109782	Jordan
MK109783	Jordan
MK109784	Jordan
MK109786	Jordan
MK109788	Jordan
MK109789	Jordan
LC385005	Philippines
MK481079	Russia
MK534511	Russia
MK749866	Nicaragua
MK749868	Nicaragua
MK749869	Nicaragua
MK749870	Nicaragua
MK749871	Nicaragua
MK749872	Nicaragua
MK749873	Nicaragua
MK749874	Nicaragua
MK749875	Nicaragua
MK749876	Nicaragua
MK749877	Nicaragua
MK749878	Nicaragua
MK749879	Nicaragua
MK749880	Nicaragua
MK749881	Nicaragua
MK749882	Nicaragua
MK749883	Nicaragua
MK749885	Nicaragua
MK749887	Nicaragua
MK749888	Nicaragua
MK749889	Nicaragua
MK749891	Nicaragua
MK749892	Nicaragua
MK749894	Nicaragua
MK749896	Nicaragua
MK749897	Nicaragua
MK749898	Nicaragua
MK749899	Nicaragua
MK749900	Nicaragua
MK749901	Nicaragua
MK749902	Nicaragua
MK749903	Nicaragua
MK749904	Nicaragua
MK749905	Nicaragua
MK749906	Nicaragua
MK749907	Nicaragua
MK749908	Nicaragua
MK749910	Nicaragua
MK749914	Nicaragua
MK749915	Nicaragua
MK749916	Nicaragua
MT040081	USA
MT040084	USA
MT040085	USA
MT040086	USA
MT040088	USA
MT040089	USA
MT107528	Switzerland
MT373703	Russia
MT373704	Russia
MT373705	Russia
MW020595	Australia
MW582529	Germany
MW160744	Australia
MW160745	Australia
MW160748	Australia
MW160750	Australia
MW160751	Australia
MW160752	Australia
MW160755	Australia
MW160757	Australia
MW160760	Australia
MW160763	Australia
MW160765	Australia
MW160770	Australia
MW160775	Australia
MW160777	Australia
MW160780	Australia
MW160781	Australia
MW160784	Australia
MW160786	Australia
MW160788	Australia
MW160789	Australia
MW160790	Australia
MW160791	Australia
MW160792	Australia
MW160793	Australia
MW160794	Australia
MW160796	Australia
MW160798	Australia
MW160800	Australia
MW160802	Australia
MW160804	Australia
MW160805	Australia
MW160806	Australia
MW160808	Australia
MW160810	Australia
MW160811	Australia
MW160812	Australia
MW160813	Australia
MW160814	Australia
MW160815	Australia
MW160816	Australia
MW160817	Australia
MW160818	Australia
MW160821	Australia
MW160823	Australia
MW160826	Australia
MW160829	Australia
MW160831	Australia
MW160832	Australia
MW160833	Australia
MW160834	Australia
MW160836	Australia
MW160837	Australia
MW160838	Australia
MW160839	Australia
MZ151849	Russia
MZ151850	Russia
MZ151856	Russia
MZ515553	United Kingdom
