accession,country,date
KM042393,Tennessee,11/26/12
KP856961,New York,1/1/89
KP856963,New York,1/1/80
KP856965,New York,1/1/89
KP856966,New York,1/1/98
KU839623,Tennessee,11/18/13
KU839625,Tennessee,1/2/14
KU839627,Tennessee,1/29/14
KU839628,Tennessee,11/27/13
KU839629,Tennessee,12/27/13
KU839632,Tennessee,12/17/13
KU839633,Tennessee,1/13/14
KU839634,Tennessee,11/15/13
KU839635,Tennessee,12/2/13
KU839636,Tennessee,12/27/13
KU839638,Tennessee,11/11/13
KU839640,Tennessee,12/11/13
KU839641,Tennessee,1/20/14
KY684758,Washington,1/1/16
KY674983,Washington,1/1/16
MF001040,Washington,1/1/15
MF001042,Washington,1/1/15
MF001044,Washington,1/1/15
MF001045,Washington,1/1/15
MF001046,Washington,1/1/15
MF001048,Washington,1/1/15
MF001055,Washington,1/1/15
MF001058,Washington,1/1/15
MF973154,Washington,1/1/15
MG642025,New York,1/1/82
MG642027,New York,1/1/91
MG642036,New York,1/1/89
MG642037,New York,1/1/80
MG642039,New York,1/1/85
MG642042,New York,1/1/85
MG642043,New York,1/1/82
MG642044,New York,1/1/82
MG642045,New York,1/1/79
MG642046,New York,1/1/84
MG642047,New York,1/1/80
MG642049,New York,1/1/93
MG642051,New York,1/1/86
MG642054,New York,1/1/91
MG642057,New York,1/1/84
MG642059,New York,1/1/83
MG642062,New York,1/1/96
MG642064,New York,1/1/95
MG642065,New York,1/1/81
MG642066,New York,1/1/90
MG642068,New York,1/1/87
MG642072,New York,1/1/91
MG642076,New York,1/1/87
MG642078,New York,1/1/82
MG642082,New York,1/1/89
MT040081,Arkansas,1/30/16
MT040084,Arkansas,1/20/16
MT040085,Arkansas,1/21/16
MT040086,Arkansas,2/29/16
MT040088,Arkansas,2/29/16
MT040089,Arkansas,6/27/16
OK649745,New York,1/1/90
OK649746,New York,1/1/95
OK649747,New York,1/1/92
OK649748,New York,1/1/92
OK649749,Texas,1/1/91
OK649750,Texas,1/1/94
OK649751,Texas,1/1/94
OK649752,Texas,1/1/94
OK649753,Texas,1/1/05
OK649754,Texas,1/1/05
OK649755,Texas,1/1/14
OL321917,California,11/16/20
OP890341,Washington,11/1/22
OP890342,Washington,11/1/22
OP890343,Washington,10/1/22
OP890344,Washington,10/1/22
OP890345,Washington,10/1/22
OP890346,Washington,10/1/22
OP890347,Washington,11/1/22
OP890348,Washington,11/1/22
OP890349,Washington,10/1/22
OP890350,Washington,10/1/22
OP965698,Washington,8/1/21
OP965700,Washington,9/1/21
OP965701,Washington,9/1/21
OP965702,Washington,9/1/21
OP965703,Washington,10/1/21
OP965704,Washington,3/1/22
OP965705,Washington,8/1/21
OP965706,Washington,9/1/21
OP965707,Washington,9/1/21
OP965708,Washington,2/1/22
OP965709,Washington,2/1/22
OP965710,Washington,12/1/21
OQ024159,Massachusetts,11/8/22
OQ024160,Massachusetts,11/4/22
OQ024161,Massachusetts,11/3/22
OQ024162,Massachusetts,11/4/22
OQ171932,Massachusetts,10/22/22
OQ171933,Massachusetts,8/8/22
OQ171934,Massachusetts,10/14/22
OQ171935,Massachusetts,7/7/22
OQ171936,Massachusetts,8/9/22
OQ171937,Massachusetts,10/19/22
OQ171938,Massachusetts,7/29/22
OQ171939,Massachusetts,7/5/22
OQ171940,Massachusetts,7/6/22
OQ171941,Massachusetts,7/16/22
OQ171942,Massachusetts,10/16/22
OQ357795,Washington,12/1/22
OQ357796,Washington,12/1/22
OQ357797,Washington,12/1/22
