name,date
JX576730,10/24/08
JX576731,11/19/08
JX576732,12/5/06
JX576733,2/5/12
JX576734,1/29/12
JX576735,1/23/12
JX576736,1/7/12
JX576737,12/21/10
JX576738,12/12/10
JX576739,12/28/09
JX576740,12/28/09
JX576741,12/22/09
JX576742,12/20/09
JX576743,12/18/09
JX576744,12/22/08
JX576745,12/17/08
JX576746,12/15/08
JX576747,12/12/08
JX576748,11/27/07
JX576749,11/23/07
JX576750,3/14/07
JX576751,1/5/07
JX576752,12/21/06
JX576753,11/17/06
JX576754,12/31/05
JX576755,12/26/05
JX576756,12/20/05
JX576757,1/14/05
JX576758,12/14/05
JX576759,12/5/03
JX576760,1/1/03
JX576761,10/21/02
KF893260,10/21/02
KM042393,11/26/12
KM517573,7/30/13
KP317917,1/27/06
KP317923,3/1/12
KP317927,2/1/11
KP317928,7/8/11
KP317932,4/6/10
KP317934,2/13/12
KP317945,4/14/11
KP317952,5/9/10
KP663729,1/14/14
KP663730,1/13/14
KJ939919,7/30/09
KJ939920,8/17/09
KJ939921,8/31/09
KJ939922,9/24/09
KJ939923,10/7/09
KJ939924,10/23/09
KJ939925,11/18/09
KJ939926,5/5/10
KJ939927,5/27/10
KJ939928,6/17/10
KJ939929,7/7/10
KJ939930,10/26/09
KJ939931,11/10/09
KJ939932,8/11/10
KJ939933,8/16/10
KJ939934,9/8/10
KP856961,1/1/89
KP856963,1/1/80
KP856965,1/1/89
KP856966,1/1/98
KU839623,11/18/13
KU839625,1/2/14
KU839627,1/29/14
KU839628,11/27/13
KU839629,12/27/13
KU839632,12/17/13
KU839633,1/13/14
KU839634,11/15/13
KU839635,12/2/13
KU839636,12/27/13
KU839638,11/11/13
KU839640,12/11/13
KU839641,1/20/14
KY249656,1/7/14
KY249657,1/3/14
KY249658,12/30/13
KY249659,12/18/13
KY249660,12/18/13
KY249661,11/27/13
KY249662,11/19/13
KY249663,11/14/13
KY249664,11/12/13
KY249665,10/9/13
KY249666,1/2/13
KY249667,12/21/12
KY249668,12/6/12
KY249669,12/6/12
KY249670,12/4/12
KY249671,11/27/12
KY249672,11/23/12
KY249673,11/19/12
KY249674,11/16/12
KY249675,1/23/12
KY249676,1/4/12
KY249677,1/6/12
KY249678,12/28/11
KY249679,12/22/11
KY249680,12/1/11
KY249681,1/5/16
KY249682,1/10/16
KY249683,1/4/16
KY684758,1/1/16
KY674983,1/1/16
MF001040,1/1/15
MF001042,1/1/15
MF001044,1/1/15
MF001045,1/1/15
MF001046,1/1/15
MF001048,1/1/15
MF001055,1/1/15
MF001058,1/1/15
MF973154,1/1/15
MG642025,1/1/82
MG642027,1/1/91
MG642036,1/1/89
MG642037,1/1/80
MG642039,1/1/85
MG642042,1/1/85
MG642043,1/1/82
MG642044,1/1/82
MG642045,1/1/79
MG642046,1/1/84
MG642047,1/1/80
MG642049,1/1/93
MG642051,1/1/86
MG642054,1/1/91
MG642057,1/1/84
MG642059,1/1/83
MG642062,1/1/96
MG642064,1/1/95
MG642065,1/1/81
MG642066,1/1/90
MG642068,1/1/87
MG642072,1/1/91
MG642076,1/1/87
MG642078,1/1/82
MG642082,1/1/89
MG431251,2/22/10
