Site,Partition,&alpha;,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length,MEME LogL,FEL LogL,Variation p
1,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
2,1,"1.11","0.00","1.00","1.67","0.00","0.00","0.67","0.00","0.00","-10.52","-10.52","1.00"
3,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
4,1,"0.42","0.00","1.00","0.64","0.00","0.00","0.67","0.00","0.00","-11.49","-11.49","1.00"
5,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
6,1,"0.86","0.00","1.00","1.28","0.00","0.00","0.67","0.00","0.00","-16.00","-16.00","1.00"
7,1,"0.38","0.00","1.00","0.56","0.00","0.00","0.67","0.00","0.00","-9.74","-9.74","1.00"
8,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
9,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
10,1,"1.14","0.00","1.00","1.71","0.00","0.00","0.67","0.00","0.00","-10.51","-10.51","1.00"
11,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
12,1,"0.77","0.00","1.00","1.15","0.00","0.00","0.67","0.00","0.00","-17.16","-17.16","1.00"
13,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
14,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
15,1,"0.00","0.00","0.75","0.00","0.25","0.00","0.67","0.00","0.00","-3.14","-3.14","1.00"
16,1,"1.73","0.00","1.00","2.60","0.00","0.00","0.67","0.00","0.00","-17.44","-17.44","1.00"
17,1,"0.49","0.00","1.00","0.74","0.00","0.00","0.67","0.00","0.00","-9.87","-9.87","1.00"
18,1,"1.78","0.00","1.00","2.68","0.00","0.00","0.67","0.00","0.00","-28.88","-28.88","1.00"
19,1,"0.37","0.00","1.00","0.56","0.00","0.00","0.67","0.00","0.00","-11.43","-11.43","1.00"
20,1,"0.86","0.00","1.00","1.28","0.00","0.00","0.67","0.00","0.00","-17.32","-17.32","1.00"
21,1,"0.59","0.00","1.00","0.89","0.00","0.00","0.67","0.00","0.00","-10.53","-10.53","1.00"
22,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
23,1,"0.33","0.00","1.00","0.49","0.00","0.00","0.67","0.00","0.00","-10.56","-10.56","1.00"
24,1,"3.40","0.00","1.00","5.10","0.00","0.00","0.67","0.00","0.00","-19.87","-19.87","1.00"
25,1,"2.20","0.00","1.00","3.31","0.00","0.00","0.67","0.00","0.00","-13.42","-13.42","1.00"
26,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
27,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
28,1,"0.00","0.00","0.01","0.23","0.99","0.66","0.39","1.00","0.00","-10.81","-10.81","1.00"
29,1,"6.54","0.00","1.00","9.81","0.00","0.00","0.67","0.00","0.00","-71.78","-71.78","1.00"
30,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
31,1,"1.70","0.00","1.00","2.55","0.00","0.00","0.67","0.00","0.00","-15.55","-15.55","1.00"
32,1,"0.66","0.00","1.00","0.99","0.00","0.00","0.67","0.00","0.00","-17.29","-17.29","1.00"
33,1,"1.73","0.00","1.00","2.60","0.00","0.00","0.67","0.00","0.00","-17.70","-17.70","1.00"
34,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
35,1,"0.00","0.00","1.00","0.00","0.00","0.00","0.67","0.00","0.00","-7.35","-5.67","0.19"
36,1,"2.05","0.00","1.00","3.08","0.00","0.00","0.67","0.00","0.00","-40.22","-40.22","1.00"
37,1,"2.49","0.00","1.00","3.73","0.00","0.00","0.67","0.00","0.00","-30.00","-30.00","1.00"
38,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
39,1,"0.44","0.00","1.00","0.68","0.00","0.00","0.67","0.00","0.00","-10.92","-10.92","1.00"
40,1,"1.52","0.00","1.00","2.28","0.00","0.00","0.67","0.00","0.00","-26.00","-26.00","1.00"
41,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
42,1,"1.98","0.00","1.00","2.97","0.00","0.00","0.67","0.00","0.00","-30.14","-30.14","1.00"
43,1,"1.35","0.00","1.00","2.03","0.00","0.00","0.67","0.00","0.00","-30.60","-30.60","1.00"
44,1,"1.71","0.00","1.00","2.56","0.00","0.00","0.67","0.00","0.00","-21.03","-21.03","1.00"
45,1,"1.55","0.00","1.00","2.33","0.00","0.00","0.67","0.00","0.00","-17.23","-17.23","1.00"
46,1,"1.74","0.00","1.00","2.61","0.00","0.00","0.67","0.00","0.00","-26.03","-26.03","1.00"
47,1,"0.25","0.00","1.00","0.47","0.00","0.00","0.67","0.00","0.00","-11.91","-11.91","1.00"
48,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
49,1,"3.76","0.00","1.00","5.65","0.00","0.00","0.67","0.00","0.00","-9.78","-9.78","1.00"
50,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
51,1,"1.11","0.00","1.00","1.67","0.00","0.00","0.67","0.00","0.00","-10.53","-10.53","1.00"
52,1,"1.46","0.00","1.00","2.19","0.00","0.00","0.67","0.00","0.00","-22.07","-22.07","1.00"
53,1,"0.86","0.00","1.00","1.30","0.00","0.00","0.67","0.00","0.00","-9.69","-9.69","1.00"
54,1,"0.43","0.02","0.01","0.65","0.99","0.14","0.56","0.00","0.00","-32.62","-32.62","1.00"
55,1,"1.19","0.00","1.00","1.78","0.00","0.00","0.67","0.00","0.00","-22.23","-22.23","1.00"
56,1,"0.44","0.00","0.01","0.97","0.99","0.53","0.42","3.00","0.00","-33.05","-33.05","1.00"
57,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
58,1,"1.32","0.00","1.00","1.98","0.00","0.00","0.67","0.00","0.00","-29.66","-29.66","1.00"
59,1,"2.43","0.00","1.00","3.65","0.00","0.00","0.67","0.00","0.00","-20.99","-20.99","1.00"
60,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
61,1,"0.37","0.00","1.00","0.56","0.00","0.00","0.67","0.00","0.00","-11.43","-11.43","1.00"
62,1,"0.39","0.00","1.00","0.58","0.00","0.00","0.67","0.00","0.00","-10.40","-10.40","1.00"
63,1,"1.95","0.00","1.00","2.93","0.00","0.00","0.67","0.00","0.00","-26.37","-26.37","1.00"
64,1,"2.08","0.00","1.00","3.13","0.00","0.00","0.67","0.00","0.00","-35.72","-35.72","1.00"
65,1,"2.33","0.19","1.00","3.50","0.00","0.00","0.67","0.00","0.00","-43.64","-43.64","1.00"
66,1,"2.20","0.00","1.00","3.31","0.00","0.00","0.67","0.00","0.00","-13.37","-13.37","1.00"
67,1,"0.87","0.00","1.00","1.31","0.00","0.00","0.67","0.00","0.00","-11.22","-11.22","1.00"
68,1,"0.48","0.00","1.00","0.72","0.00","0.00","0.67","0.00","0.00","-11.34","-11.34","1.00"
69,1,"0.87","0.00","1.00","1.31","0.00","0.00","0.67","0.00","0.00","-10.55","-10.55","1.00"
70,1,"0.66","0.00","1.00","0.99","0.00","0.00","0.67","0.00","0.00","-17.99","-17.99","1.00"
71,1,"4.05","0.00","1.00","6.08","0.00","0.00","0.67","0.00","0.00","-36.54","-36.54","1.00"
72,1,"0.37","0.00","1.00","0.55","0.00","0.00","0.67","0.00","0.00","-11.57","-11.57","1.00"
73,1,"4.98","0.64","1.00","7.46","0.00","0.00","0.67","0.00","0.00","-80.10","-80.10","1.00"
74,1,"0.40","0.00","1.00","0.59","0.00","0.00","0.67","0.00","0.00","-12.30","-12.30","1.00"
75,1,"0.42","0.00","1.00","0.64","0.00","0.00","0.67","0.00","0.00","-10.87","-10.87","1.00"
76,1,"0.87","0.00","1.00","1.31","0.00","0.00","0.67","0.00","0.00","-12.91","-12.91","1.00"
77,1,"1.04","0.00","1.00","1.56","0.00","0.00","0.67","0.00","0.00","-11.27","-11.27","1.00"
78,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
79,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
80,1,"0.33","0.00","1.00","0.50","0.00","0.00","0.67","0.00","0.00","-11.85","-11.85","1.00"
81,1,"1.67","0.00","1.00","2.50","0.00","0.00","0.67","0.00","0.00","-50.24","-50.24","1.00"
82,1,"0.48","0.00","1.00","0.72","0.00","0.00","0.67","0.00","0.00","-10.80","-10.80","1.00"
83,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
84,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
85,1,"3.93","0.00","1.00","5.89","0.00","0.00","0.67","0.00","0.00","-41.73","-41.73","1.00"
86,1,"5.25","0.00","1.00","7.87","0.00","0.00","0.67","0.00","0.00","-40.89","-40.89","1.00"
87,1,"0.61","0.31","1.00","0.91","0.00","0.00","0.67","0.00","0.00","-18.58","-18.58","1.00"
88,1,"0.43","0.00","1.00","0.64","0.00","0.00","0.67","0.00","0.00","-11.62","-11.62","1.00"
89,1,"1.14","0.04","0.00","1.50","1.00","0.15","0.55","0.00","0.00","-59.03","-59.03","1.00"
90,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
91,1,"1.84","0.00","1.00","2.76","0.00","0.00","0.67","0.00","0.00","-21.15","-21.15","1.00"
92,1,"1.73","0.00","1.00","2.60","0.00","0.00","0.67","0.00","0.00","-17.54","-17.54","1.00"
93,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
94,1,"1.71","0.00","1.00","2.56","0.00","0.00","0.67","0.00","0.00","-15.64","-15.64","1.00"
