Diagnostic Test Type ,Surveillance Year,Week ending Code ,Week ending Date,HHS region ,RSV Detections,RSV Tests,Outlier
Antigen,1011,1027,10JUL2010,1,0,105,0
Antigen,1011,1028,17JUL2010,1,0,116,0
Antigen,1011,1029,24JUL2010,1,0,84,0
Antigen,1011,1030,31JUL2010,1,0,86,0
Antigen,1011,1031,07AUG2010,1,0,88,0
Antigen,1011,1032,14AUG2010,1,0,99,0
Antigen,1011,1033,21AUG2010,1,0,117,0
Antigen,1011,1034,28AUG2010,1,0,115,0
Antigen,1011,1035,04SEP2010,1,1,134,0
Antigen,1011,1036,11SEP2010,1,1,127,0
Antigen,1011,1037,18SEP2010,1,1,173,0
Antigen,1011,1038,25SEP2010,1,1,224,0
Antigen,1011,1039,02OCT2010,1,1,182,0
Antigen,1011,1040,09OCT2010,1,1,202,0
Antigen,1011,1041,16OCT2010,1,5,193,0
Antigen,1011,1042,23OCT2010,1,3,226,0
Antigen,1011,1043,30OCT2010,1,5,294,0
Antigen,1011,1044,06NOV2010,1,5,259,0
Antigen,1011,1045,13NOV2010,1,12,304,0
Antigen,1011,1046,20NOV2010,1,10,285,0
Antigen,1011,1047,27NOV2010,1,26,326,0
Antigen,1011,1048,04DEC2010,1,21,332,0
Antigen,1011,1049,11DEC2010,1,32,365,0
Antigen,1011,1050,18DEC2010,1,60,410,0
Antigen,1011,1051,25DEC2010,1,45,435,0
Antigen,1011,1052,01JAN2011,1,85,533,0
Antigen,1011,1101,08JAN2011,1,92,576,0
Antigen,1011,1102,15JAN2011,1,74,534,0
Antigen,1011,1103,22JAN2011,1,97,535,0
Antigen,1011,1104,29JAN2011,1,90,536,0
Antigen,1011,1105,05FEB2011,1,79,530,0
Antigen,1011,1106,12FEB2011,1,113,620,0
Antigen,1011,1107,19FEB2011,1,117,641,0
Antigen,1011,1108,26FEB2011,1,97,657,0
Antigen,1011,1109,05MAR2011,1,90,613,0
Antigen,1011,1110,12MAR2011,1,73,652,0
Antigen,1011,1111,19MAR2011,1,65,673,0
Antigen,1011,1112,26MAR2011,1,53,612,0
Antigen,1011,1113,02APR2011,1,47,523,0
Antigen,1011,1114,09APR2011,1,28,431,0
Antigen,1011,1115,16APR2011,1,18,400,0
Antigen,1011,1116,23APR2011,1,14,345,0
Antigen,1011,1117,30APR2011,1,16,361,0
Antigen,1011,1118,07MAY2011,1,14,312,0
Antigen,1011,1119,14MAY2011,1,6,284,0
Antigen,1011,1120,21MAY2011,1,8,307,0
Antigen,1011,1121,28MAY2011,1,6,291,0
Antigen,1011,1122,04JUN2011,1,3,260,0
Antigen,1011,1123,11JUN2011,1,0,245,0
Antigen,1011,1124,18JUN2011,1,1,224,0
Antigen,1011,1125,25JUN2011,1,3,225,0
Antigen,1011,1126,02JUL2011,1,2,179,0
Antigen,1011,1027,10JUL2010,10,0,148,0
Antigen,1011,1028,17JUL2010,10,2,157,0
Antigen,1011,1029,24JUL2010,10,0,127,0
Antigen,1011,1030,31JUL2010,10,1,122,0
Antigen,1011,1031,07AUG2010,10,0,131,0
Antigen,1011,1032,14AUG2010,10,0,168,0
Antigen,1011,1033,21AUG2010,10,1,184,0
Antigen,1011,1034,28AUG2010,10,1,169,0
Antigen,1011,1035,04SEP2010,10,0,201,0
Antigen,1011,1036,11SEP2010,10,0,235,0
Antigen,1011,1037,18SEP2010,10,0,231,0
Antigen,1011,1038,25SEP2010,10,0,221,0
Antigen,1011,1039,02OCT2010,10,2,216,0
Antigen,1011,1040,09OCT2010,10,2,228,0
Antigen,1011,1041,16OCT2010,10,6,279,0
Antigen,1011,1042,23OCT2010,10,5,284,0
Antigen,1011,1043,30OCT2010,10,1,256,0
Antigen,1011,1044,06NOV2010,10,8,212,0
Antigen,1011,1045,13NOV2010,10,7,251,0
Antigen,1011,1046,20NOV2010,10,16,287,0
Antigen,1011,1047,27NOV2010,10,9,226,0
Antigen,1011,1048,04DEC2010,10,14,264,0
Antigen,1011,1049,11DEC2010,10,24,323,0
Antigen,1011,1050,18DEC2010,10,37,343,0
Antigen,1011,1051,25DEC2010,10,61,337,0
Antigen,1011,1052,01JAN2011,10,94,459,0
Antigen,1011,1101,08JAN2011,10,84,402,0
Antigen,1011,1102,15JAN2011,10,85,494,0
Antigen,1011,1103,22JAN2011,10,149,546,0
Antigen,1011,1104,29JAN2011,10,201,707,0
Antigen,1011,1105,05FEB2011,10,155,489,0
Antigen,1011,1106,12FEB2011,10,254,791,0
Antigen,1011,1107,19FEB2011,10,229,830,0
Antigen,1011,1108,26FEB2011,10,207,751,0
Antigen,1011,1109,05MAR2011,10,195,862,0
Antigen,1011,1110,12MAR2011,10,145,915,0
Antigen,1011,1111,19MAR2011,10,122,708,0
Antigen,1011,1112,26MAR2011,10,98,702,0
Antigen,1011,1113,02APR2011,10,82,655,0
Antigen,1011,1114,09APR2011,10,59,642,0
Antigen,1011,1115,16APR2011,10,59,628,0
Antigen,1011,1116,23APR2011,10,40,443,0
Antigen,1011,1117,30APR2011,10,21,488,0
Antigen,1011,1118,07MAY2011,10,19,405,0
Antigen,1011,1119,14MAY2011,10,13,402,0
Antigen,1011,1120,21MAY2011,10,14,330,0
